SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE_OR_PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE_FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,ratio_sqft_bd,additional_bd_opp,ratio_lot_sqft,adu_potential
MLS Listing,,Multi-Family ,35-36 10th St,Long Island City,NY,11106,1900000,5,5.5,Queens,4780,3034,2005,407,397,,Active,https://www.redfin.com/NY/Astoria/3536-10th-St-11106/home/20644949,OneKey,3405742,N,Y,40.7622645,-73.9404632,956,TRUE,0.634728033,FALSE
MLS Listing,,Multi-Family ,35-32 10th St,Long Island City,NY,11106,1900000,7,5.5,Queens,4780,2233,2005,407,397,,Active,https://www.redfin.com/NY/Astoria/3532-10th-St-11106/home/20957804,OneKey,3405510,N,Y,40.76238,-73.940481,682.8571429,TRUE,0.467154812,FALSE
MLS Listing,,Multi-Family ,55-16 69th St,Maspeth,NY,11378,1900000,7,4,Queens,4250,,1970,92,447,,Active,https://www.redfin.com/NY/Queens/55-16-69th-St-11378/home/168292278,OneKey,H6243398,N,Y,40.7273266,-73.895678,607.1428571,TRUE,0,FALSE
MLS Listing,,Multi-Family ,891 4th Ave,Brooklyn,NY,11232,1899000,12,6,Brooklyn,4000,2587,1925,18,475,,Active,https://www.redfin.com/NY/Brooklyn/891-4th-Ave-11232/home/40690741,BNYMLS,474956,N,Y,40.6556077,-74.0026986,333.3333333,TRUE,0.64675,FALSE
MLS Listing,,Multi-Family ,1456 Bay Ridge Ave,Brooklyn,NY,11219,1899000,9,5.5,Brooklyn,4680,2000,1909,250,406,,Active,https://www.redfin.com/NY/Brooklyn/1456-Bay-Ridge-Ave-11219/home/40821127,BNYMLS,468968,N,Y,40.6214102,-74.0002491,520,TRUE,0.427350427,FALSE
MLS Listing,,Multi-Family ,6603 13th Ave,Brooklyn,NY,11219,1880000,8,6,Brooklyn,4200,1600,1931,214,448,,Active,https://www.redfin.com/NY/Brooklyn/6603-13th-Ave-11219/home/175018976,BNYMLS,469497,N,Y,40.6250995,-74.0020456,525,TRUE,0.380952381,FALSE
MLS Listing,,Multi-Family ,,New York,NY,10034,1875000,0,,Manhattan,4485,2500,1920,70,418,,Active,https://www.redfin.com/NY/New-York/Undisclosed-address-10034/home/45312409,REBNY,OLRS-00010023176,N,Y,40.8685516,-73.9221553,0,FALSE,0.557413601,FALSE
MLS Listing,,Multi-Family ,667 Coney Island Ave,Brooklyn,NY,11218,1850000,6,2.5,Brooklyn,4320,1700,1930,11,428,,Active,https://www.redfin.com/NY/Brooklyn/667-Coney-Island-Ave-11218/home/186036498,BNYMLS,475312,N,Y,40.641202,-73.969008,720,TRUE,0.393518519,FALSE
MLS Listing,,Multi-Family ,6203 20th Ave,Brooklyn,NY,11204,1850000,5,2.5,Brooklyn,4000,1600,1920,43,463,,Active,https://www.redfin.com/NY/Brooklyn/6203-20th-Ave-11204/home/185639183,BNYMLS,474508,N,Y,40.6179901,-73.984093,800,TRUE,0.4,FALSE
MLS Listing,,Multi-Family ,132-08 95th Ave,Richmond Hill,NY,11418,1850000,6,5,Queens,4000,5042,2021,292,463,,Active,https://www.redfin.com/NY/Jamaica/13208-95th-Ave-11419/home/20775316,OneKey,3433810,N,Y,40.695279,-73.816091,666.6666667,TRUE,1.2605,FALSE
